"date","close","volume","open","high","low"

"2017/11/10","56.0900","7535726.0000","55.8800","56.4900","55.6200"
"2017/11/09","56.1300","10946100.0000","55.5000","56.3500","55.3100"
"2017/11/08","55.7600","7078567.0000","55.0000","55.7700","54.8900"
"2017/11/07","55.1500","7364860.0000","55.7500","56.0150","55.0200"
"2017/11/06","56.0400","9241026.0000","55.2900","56.1300","55.1400"
"2017/11/03","55.7100","9448186.0000","55.1500","55.7200","55.0400"
"2017/11/02","55.1200","7250199.0000","55.1500","55.3200","54.5900"
"2017/11/01","55.0700","7499459.0000","55.4200","55.5000","54.8500"
"2017/10/31","54.9900","9785542.0000","54.7500","55.2800","54.5200"
"2017/10/30","55.2700","10169180.0000","55.7100","55.9300","54.8400"
"2017/10/27","55.9600","12791410.0000","55.8200","56.3600","55.6500"
"2017/10/26","56.8100","21878050.0000","55.2600","57.2500","55.1400"
"2017/10/25","54.9400","24785960.0000","53.4300","55.9050","52.6700"
"2017/10/24","53.4200","14729220.0000","53.9000","54.0000","53.1000"
"2017/10/23","53.6600","12223710.0000","53.0600","53.9500","53.0000"
"2017/10/20","53.0600","12905160.0000","52.7900","53.5000","52.7900"
"2017/10/19","52.6900","12568210.0000","51.6600","52.8000","51.4800"
"2017/10/18","52.3000","10890150.0000","52.1800","52.4000","52.1000"
"2017/10/17","52.0000","9491074.0000","51.5000","52.0400","51.3800"
"2017/10/16","51.3700","9299326.0000","50.8000","51.4050","50.6400"
"2017/10/13","50.9800","16227850.0000","50.8300","51.0700","50.4000"
"2017/10/12","50.8300","10727200.0000","50.9800","51.1200","50.3500"
"2017/10/11","51.0300","9101142.0000","51.3900","51.5200","50.8300"
"2017/10/10","51.5300","8354317.0000","51.5800","51.8200","51.3700"
"2017/10/09","51.5200","6874888.0000","52.2300","52.3000","51.5000"
"2017/10/06","52.4200","5301091.0000","52.2000","52.4600","52.1200"
"2017/10/05","52.1800","5286989.0000","52.0100","52.3200","51.7750"
"2017/10/04","52.0800","8167272.0000","51.5100","52.1300","51.4000"
"2017/10/03","51.4700","8124809.0000","52.0000","52.0500","51.4000"
"2017/10/02","51.8700","7508536.0000","52.1600","52.2100","51.6600"
"2017/09/29","51.8500","12125690.0000","52.5900","52.8200","51.7600"
"2017/09/28","52.6300","11313620.0000","52.8000","53.0300","52.3300"
"2017/09/27","52.6700","36193880.0000","52.1700","52.6900","51.0300"
"2017/09/26","53.7000","15497040.0000","53.1800","53.9700","52.9800"
"2017/09/25","53.2300","12244730.0000","53.0800","53.5600","53.0000"
"2017/09/22","53.2400","10962230.0000","53.0200","53.6100","52.8000"
"2017/09/21","53.1900","8059362.0000","53.5500","53.6400","53.0900"
"2017/09/20","53.5600","7024091.0000","53.4900","53.6400","53.0400"
"2017/09/19","53.3300","14676750.0000","52.7800","54.0500","52.5100"
"2017/09/18","53.5000","8165325.0000","53.8700","54.1600","53.4000"
"2017/09/15","53.8700","9999372.0000","53.8600","54.0600","53.5200"
"2017/09/14","53.7300","7488924.0000","53.5400","53.8900","53.1200"
"2017/09/13","53.5200","6079979.0000","53.4500","53.6400","53.0400"
"2017/09/12","53.4000","7825328.0000","53.7700","54.0900","53.3000"
"2017/09/11","53.0300","8649671.0000","52.3800","53.1300","52.3200"
"2017/09/08","52.2000","8554996.0000","52.2500","52.5100","52.1100"
"2017/09/07","52.3900","6905672.0000","52.7600","52.8500","52.3400"
"2017/09/06","52.7600","7401460.0000","53.1200","53.3400","52.7100"
"2017/09/05","53.0100","6680199.0000","53.2500","53.4700","52.8800"
"2017/09/01","53.3600","5509700.0000","53.0000","53.4500","52.9000"
"2017/08/31","52.8100","7709090.0000","52.6000","52.9800","52.4700"
"2017/08/30","52.5600","7141739.0000","52.8000","52.9600","52.2500"
"2017/08/29","52.7300","12526610.0000","52.7400","52.8775","52.0650"
"2017/08/28","53.7300","5267309.0000","54.0700","54.4300","53.6150"
"2017/08/25","53.9000","6416006.0000","54.0300","54.2000","53.5375"
"2017/08/24","53.8400","5461910.0000","53.9300","53.9700","53.4600"
"2017/08/23","53.6100","6408312.0000","53.9200","54.0800","53.4450"
"2017/08/22","54.1300","8212705.0000","53.9200","54.4100","53.7900"
"2017/08/21","53.6100","14275780.0000","54.4400","54.4400","53.1050"
"2017/08/18","54.9500","22863480.0000","54.8500","55.4200","54.1700"
"2017/08/17","57.4600","8912592.0000","58.5300","58.7445","57.4200"
"2017/08/16","58.5400","5489569.0000","58.9000","59.0500","58.2210"
"2017/08/15","58.5600","8912871.0000","58.9400","59.0100","58.2900"
"2017/08/14","59.7800","5899971.0000","59.1500","60.0000","59.1300"
"2017/08/11","58.9700","4979984.0000","58.7300","59.2700","58.5900"
"2017/08/10","59.0700","5584793.0000","59.6800","59.6900","59.0600"
