,sentiment,time,,,
126,positive,2017-11-11 16:19:41+00:00,,,
127,neutral,2017-11-11 14:53:57+00:00,,,
128,positive,2017-11-11 10:08:01+00:00,,,
129,positive,2017-11-11 08:00:49+00:00,,,
130,neutral,2017-11-11 04:37:00+00:00,,,
131,negative,2017-11-11 04:02:44+00:00,,,
132,positive,2017-11-11 03:34:25+00:00,,,
133,negative,2017-11-10 21:44:31+00:00,,,
134,negative,2017-11-10 21:26:53+00:00,,,
135,negative,2017-11-10 19:02:58+00:00,,,
136,positive,2017-11-10 19:01:24+00:00,,,
137,positive,2017-11-10 19:00:40+00:00,,,
138,neutral,2017-11-10 18:01:01+00:00,,,
139,positive,2017-11-10 17:35:50+00:00,,,
140,positive,2017-11-10 17:23:29+00:00,,,
141,positive,2017-11-10 17:13:20+00:00,,,
142,positive,2017-11-10 16:35:22+00:00,,,
143,neutral,2017-11-10 13:40:55+00:00,,,
144,positive,2017-11-10 09:49:26+00:00,,,
145,positive,2017-11-10 07:23:03+00:00,,,
146,positive,2017-11-10 06:02:29+00:00,,,
147,positive,2017-11-10 05:22:32+00:00,,,
148,positive,2017-11-10 04:06:48+00:00,,,
149,negative,2017-11-10 01:16:14+00:00,,,
150,negative,2017-11-09 22:49:14+00:00,,,
151,positive,2017-11-09 22:47:55+00:00,,,
152,positive,2017-11-09 22:30:34+00:00,,,
153,positive,2017-11-09 22:24:13+00:00,,,
154,negative,2017-11-09 22:01:16+00:00,,,
155,negative,2017-11-09 21:43:22+00:00,,,
156,positive,2017-11-09 21:20:23+00:00,,,
157,neutral,2017-11-09 19:57:26+00:00,,,
158,positive,2017-11-09 19:46:17+00:00,,,
159,positive,2017-11-09 18:57:35+00:00,,,
160,neutral,2017-11-09 18:36:45+00:00,,,
161,neutral,2017-11-09 18:15:02+00:00,,,
162,neutral,2017-11-09 17:55:14+00:00,,,
163,negative,2017-11-09 16:27:53+00:00,,,
164,positive,2017-11-09 15:43:19+00:00,,,
165,positive,2017-11-09 14:34:50+00:00,,,
166,positive,2017-11-09 11:39:42+00:00,,,
167,neutral,2017-11-09 11:24:13+00:00,,,
168,negative,2017-11-09 11:22:59+00:00,,,
169,negative,2017-11-09 10:59:21+00:00,,,
170,neutral,2017-11-09 09:25:06+00:00,,,
171,negative,2017-11-09 08:31:01+00:00,,,
172,positive,2017-11-09 06:57:53+00:00,,,
173,positive,2017-11-09 06:52:15+00:00,,,
174,positive,2017-11-09 06:52:15+00:00,,,
175,neutral,2017-11-09 04:08:25+00:00,,,
176,positive,2017-11-09 03:38:00+00:00,,,
177,negative,2017-11-08 23:52:30+00:00,,,
178,positive,2017-11-08 23:00:55+00:00,,,
179,negative,2017-11-08 22:54:10+00:00,,,
180,positive,2017-11-08 22:08:38+00:00,,,
181,negative,2017-11-08 21:04:17+00:00,,,
182,neutral,2017-11-08 20:54:32+00:00,,,
183,negative,2017-11-08 20:46:20+00:00,,,
184,neutral,2017-11-08 20:10:13+00:00,,,
185,negative,2017-11-08 20:06:24+00:00,,,
186,positive,2017-11-08 18:45:30+00:00,,,
187,positive,2017-11-08 18:43:26+00:00,,,
188,neutral,2017-11-08 17:47:57+00:00,,,
189,positive,2017-11-08 17:45:37+00:00,,,
190,positive,2017-11-08 17:00:11+00:00,,,
191,negative,2017-11-08 17:00:04+00:00,,,
192,neutral,2017-11-08 16:00:08+00:00,,,
193,positive,2017-11-08 15:26:02+00:00,,,
194,neutral,2017-11-08 13:55:46+00:00,,,
195,positive,2017-11-08 13:39:34+00:00,,,
196,positive,2017-11-08 13:04:04+00:00,,,
197,neutral,2017-11-08 12:24:10+00:00,,,
198,neutral,2017-11-08 08:21:53+00:00,,,
199,negative,2017-11-08 08:20:56+00:00,,,
200,negative,2017-11-08 07:59:41+00:00,,,
201,positive,2017-11-08 06:47:28+00:00,,,
202,neutral,2017-11-08 06:13:49+00:00,,,
203,neutral,2017-11-08 02:51:07+00:00,,,
204,neutral,2017-11-08 00:45:56+00:00,,,
205,positive,2017-11-08 00:00:11+00:00,,,
206,neutral,2017-11-07 23:37:33+00:00,,,
207,positive,2017-11-07 23:36:22+00:00,,,
208,neutral,2017-11-07 23:19:02+00:00,,,
209,positive,2017-11-07 23:02:19+00:00,,,
210,neutral,2017-11-07 22:54:12+00:00,,,
211,negative,2017-11-07 22:41:47+00:00,,,
212,neutral,2017-11-07 22:25:11+00:00,,,
213,positive,2017-11-07 22:14:15+00:00,,,
214,positive,2017-11-07 22:13:35+00:00,,,
215,negative,2017-11-07 21:01:41+00:00,,,
216,negative,2017-11-07 20:46:03+00:00,,,
217,negative,2017-11-07 20:06:00+00:00,,,
218,negative,2017-11-07 20:02:59+00:00,,,
219,neutral,2017-11-07 19:23:38+00:00,,,
220,neutral,2017-11-07 19:21:52+00:00,,,
221,positive,2017-11-07 19:18:55+00:00,,,
222,positive,2017-11-07 19:13:51+00:00,,,
223,positive,2017-11-07 18:29:49+00:00,,,
224,positive,2017-11-07 18:29:13+00:00,,,
225,positive,2017-11-07 18:28:31+00:00,,,
226,positive,2017-11-07 18:28:31+00:00,,,
227,neutral,2017-11-07 18:25:46+00:00,,,
228,positive,2017-11-07 18:21:41+00:00,,,
229,positive,2017-11-07 18:21:00+00:00,,,
230,negative,2017-11-07 18:19:01+00:00,,,
231,negative,2017-11-07 17:58:12+00:00,,,
232,positive,2017-11-07 17:55:39+00:00,,,
233,neutral,2017-11-07 17:47:58+00:00,,,
234,positive,2017-11-07 17:47:02+00:00,,,
235,positive,2017-11-07 17:40:14+00:00,,,
236,negative,2017-11-07 17:38:29+00:00,,,
237,neutral,2017-11-07 17:19:57+00:00,,,
238,negative,2017-11-07 17:12:02+00:00,,,
239,positive,2017-11-07 16:59:28+00:00,,,
240,positive,2017-11-07 16:59:02+00:00,,,
241,neutral,2017-11-07 16:42:04+00:00,,,
242,neutral,2017-11-07 16:41:49+00:00,,,
243,neutral,2017-11-07 16:16:57+00:00,,,
244,negative,2017-11-07 15:03:28+00:00,,,
245,negative,2017-11-07 15:02:15+00:00,,,
246,positive,2017-11-07 14:58:38+00:00,,,
247,negative,2017-11-07 14:49:55+00:00,,,
248,negative,2017-11-07 14:45:51+00:00,,,
249,negative,2017-11-07 14:17:12+00:00,,,
250,positive,2017-11-07 14:05:16+00:00,,,
251,positive,2017-11-07 14:01:32+00:00,,,
252,positive,2017-11-07 11:54:03+00:00,,,
253,negative,2017-11-07 07:59:43+00:00,,,
254,neutral,2017-11-07 07:52:50+00:00,,,
255,negative,2017-11-07 07:22:00+00:00,,,
256,neutral,2017-11-07 06:19:09+00:00,,,
257,positive,2017-11-07 06:07:19+00:00,,,
258,neutral,2017-11-07 05:27:27+00:00,,,
259,neutral,2017-11-07 05:17:44+00:00,,,
260,neutral,2017-11-07 05:06:22+00:00,,,
261,neutral,2017-11-07 05:01:19+00:00,,,
262,positive,2017-11-07 04:52:12+00:00,,,
263,neutral,2017-11-07 04:27:46+00:00,,,
264,positive,2017-11-07 03:20:35+00:00,,,
265,positive,2017-11-07 02:44:24+00:00,,,
266,positive,2017-11-07 02:40:15+00:00,,,
267,neutral,2017-11-07 00:49:13+00:00,,,
268,negative,2017-11-06 22:53:16+00:00,,,
269,positive,2017-11-06 21:56:46+00:00,,,
270,positive,2017-11-06 21:53:41+00:00,,,
271,negative,2017-11-06 21:36:09+00:00,,,
272,negative,2017-11-06 20:55:36+00:00,,,
273,positive,2017-11-06 20:26:16+00:00,,,
274,neutral,2017-11-06 19:25:38+00:00,,,
275,negative,2017-11-06 18:29:29+00:00,,,
276,positive,2017-11-06 18:19:45+00:00,,,
277,negative,2017-11-06 18:04:04+00:00,,,
278,positive,2017-11-06 18:01:56+00:00,,,
279,positive,2017-11-06 17:56:22+00:00,,,
280,positive,2017-11-06 17:46:17+00:00,,,
281,neutral,2017-11-06 16:59:22+00:00,,,
282,neutral,2017-11-06 16:20:24+00:00,,,
283,positive,2017-11-06 16:08:03+00:00,,,
284,positive,2017-11-06 16:03:35+00:00,,,
285,positive,2017-11-06 15:47:58+00:00,,,
286,negative,2017-11-06 15:47:58+00:00,,,
287,positive,2017-11-06 15:47:58+00:00,,,
288,positive,2017-11-06 14:54:25+00:00,,,
289,neutral,2017-11-06 13:11:07+00:00,,,
290,positive,2017-11-06 12:16:07+00:00,,,
291,positive,2017-11-06 11:39:35+00:00,,,
292,positive,2017-11-06 10:47:41+00:00,,,
293,positive,2017-11-06 08:37:38+00:00,,,
294,positive,2017-11-06 07:46:29+00:00,,,
295,positive,2017-11-06 07:46:29+00:00,,,
296,positive,2017-11-06 07:38:57+00:00,,,
297,positive,2017-11-06 07:06:00+00:00,,,
298,positive,2017-11-06 02:44:28+00:00,,,
299,positive,2017-11-05 22:55:08+00:00,,,
300,positive,2017-11-05 22:16:09+00:00,,,
301,positive,2017-11-05 22:04:27+00:00,,,
302,positive,2017-11-05 22:00:07+00:00,,,
303,positive,2017-11-05 20:39:55+00:00,,,
304,positive,2017-11-05 19:16:35+00:00,,,
305,positive,2017-11-05 17:19:02+00:00,,,
306,positive,2017-11-05 11:26:17+00:00,,,
307,neutral,2017-11-05 10:38:22+00:00,,,
308,positive,2017-11-05 08:39:42+00:00,,,
309,positive,2017-11-05 08:14:46+00:00,,,
310,positive,2017-11-05 07:56:39+00:00,,,
311,positive,2017-11-05 06:07:33+00:00,,,
312,neutral,2017-11-05 06:07:33+00:00,,,
313,positive,2017-11-05 06:07:33+00:00,,,
314,positive,2017-11-05 06:03:25+00:00,,,
315,negative,2017-11-05 06:00:18+00:00,,,
316,neutral,2017-11-05 04:28:09+00:00,,,
317,positive,2017-11-05 04:19:26+00:00,,,
318,positive,2017-11-05 00:55:48+00:00,,,
319,negative,2017-11-04 21:47:24+00:00,,,
320,negative,2017-11-04 21:10:16+00:00,,,
321,positive,2017-11-04 18:45:59+00:00,,,
322,positive,2017-11-04 17:46:00+00:00,,,
323,positive,2017-11-04 16:37:13+00:00,,,
324,neutral,2017-11-04 15:37:49+00:00,,,
325,negative,2017-11-04 13:41:54+00:00,,,
326,positive,2017-11-04 10:39:47+00:00,,,
327,positive,2017-11-04 05:44:27+00:00,,,
328,positive,2017-11-04 05:44:27+00:00,,,
329,negative,2017-11-04 05:44:27+00:00,,,
330,positive,2017-11-04 05:38:40+00:00,,,
331,negative,2017-11-04 01:27:08+00:00,,,
332,negative,2017-11-04 01:03:22+00:00,,,
333,negative,2017-11-04 00:59:21+00:00,,,
334,negative,2017-11-04 00:48:46+00:00,,,
335,positive,2017-11-04 00:32:55+00:00,,,
336,positive,2017-11-03 22:13:50+00:00,,,
337,neutral,2017-11-03 20:45:45+00:00,,,
338,positive,2017-11-03 20:06:05+00:00,,,
339,neutral,2017-11-03 20:03:25+00:00,,,
340,positive,2017-11-03 19:46:48+00:00,,,
341,positive,2017-11-03 19:28:02+00:00,,,
342,positive,2017-11-03 17:24:13+00:00,,,
343,positive,2017-11-03 17:19:31+00:00,,,
344,positive,2017-11-03 17:18:58+00:00,,,
345,positive,2017-11-03 17:18:58+00:00,,,
346,negative,2017-11-03 17:06:34+00:00,,,
347,positive,2017-11-03 17:04:28+00:00,,,
348,positive,2017-11-03 16:53:00+00:00,,,
349,negative,2017-11-03 16:51:32+00:00,,,
350,positive,2017-11-03 15:24:57+00:00,,,
351,neutral,2017-11-03 15:03:54+00:00,,,
352,positive,2017-11-03 14:15:50+00:00,,,
353,neutral,2017-11-03 12:58:33+00:00,,,
354,positive,2017-11-03 11:29:18+00:00,,,
355,neutral,2017-11-03 10:02:50+00:00,,,
356,positive,2017-11-03 09:47:33+00:00,,,
357,positive,2017-11-03 05:41:08+00:00,,,
358,positive,2017-11-03 03:04:56+00:00,,,
359,neutral,2017-11-03 02:36:03+00:00,,,
360,neutral,2017-11-02 21:46:04+00:00,,,
361,neutral,2017-11-02 20:00:05+00:00,,,
362,neutral,2017-11-02 19:18:28+00:00,,,
363,positive,2017-11-02 19:06:04+00:00,,,
364,negative,2017-11-02 18:59:04+00:00,,,
365,negative,2017-11-02 17:47:09+00:00,,,
366,positive,2017-11-02 17:46:07+00:00,,,
367,negative,2017-11-02 17:45:48+00:00,,,
368,negative,2017-11-02 17:27:09+00:00,,,
369,neutral,2017-11-02 16:31:00+00:00,,,
370,neutral,2017-11-02 16:06:02+00:00,,,
371,neutral,2017-11-02 15:38:22+00:00,,,
372,positive,2017-11-02 14:44:21+00:00,,,
373,positive,2017-11-02 14:21:45+00:00,,,
374,positive,2017-11-02 14:15:34+00:00,,,
375,positive,2017-11-02 08:26:09+00:00,,,
376,positive,2017-11-02 04:04:37+00:00,,,
377,positive,2017-11-02 03:37:54+00:00,,,
378,neutral,2017-11-02 03:14:21+00:00,,,
379,positive,2017-11-01 22:16:30+00:00,,,
380,positive,2017-11-01 20:41:03+00:00,,,
381,neutral,2017-11-01 19:48:12+00:00,,,
382,neutral,2017-11-01 19:46:00+00:00,,,
383,positive,2017-11-01 19:29:12+00:00,,,
384,positive,2017-11-01 17:38:04+00:00,,,
385,positive,2017-11-01 17:02:01+00:00,,,
386,positive,2017-11-01 16:41:47+00:00,,,
387,positive,2017-11-01 15:09:33+00:00,,,
388,neutral,2017-11-01 14:34:30+00:00,,,
389,negative,2017-11-01 12:08:20+00:00,,,
390,positive,2017-11-01 11:59:07+00:00,,,
391,positive,2017-11-01 10:15:57+00:00,,,
392,neutral,2017-11-01 04:48:33+00:00,,,
393,positive,2017-11-01 04:34:03+00:00,,,
394,positive,2017-11-01 03:01:02+00:00,,,
395,positive,2017-11-01 02:12:24+00:00,,,
